author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Joel Fagliano,,Normal,2023-11-23,Thursday,4,Mini,21583,,0,100,True,,30
Joel Fagliano,,Normal,2023-11-24,Friday,5,Mini,21585,,0,100,True,,30
Joel Fagliano,,Normal,2023-11-25,Saturday,6,Mini,21584,,0,100,True,,93
Joel Fagliano,,Normal,2023-11-26,Sunday,0,Mini,21582,,0,100,True,,52
Joel Fagliano,,Normal,2023-11-27,Monday,1,Mini,21590,,0,100,True,,42
Joel Fagliano,,Normal,2023-11-28,Tuesday,2,Mini,21589,,0,100,True,,33
Joel Fagliano,,Normal,2023-11-29,Wednesday,3,Mini,21591,,0,100,True,,54
Joel Fagliano,,Normal,2023-11-30,Thursday,4,Mini,21594,,0,100,True,,69
Joel Fagliano,,Normal,2023-12-01,Friday,5,Mini,21587,,0,100,True,,100
Joel Fagliano,,Normal,2023-12-02,Saturday,6,Mini,21593,,0,100,True,,125
Joel Fagliano,,Normal,2023-12-03,Sunday,0,Mini,21595,,0,100,True,,91
Joel Fagliano,,Normal,2023-12-04,Monday,1,Mini,21597,,0,100,True,,33
Joel Fagliano,,Normal,2023-12-05,Tuesday,2,Mini,21598,,0,100,True,,46
Joel Fagliano,,Normal,2023-12-06,Wednesday,3,Mini,21599,,0,100,True,,129
Joel Fagliano,,Normal,2023-12-07,Thursday,4,Mini,21600,,0,100,True,,33
Joel Fagliano,,Normal,2023-12-08,Friday,5,Mini,21601,,0,100,True,,24
Joel Fagliano,,Normal,2023-12-09,Saturday,6,Mini,21602,,0,100,True,,78
Joel Fagliano,,Normal,2023-12-10,Sunday,0,Mini,21603,,0,100,True,,15
Joel Fagliano,,Normal,2023-12-11,Monday,1,Mini,21612,,0,100,True,,45
Joel Fagliano,,Normal,2023-12-12,Tuesday,2,Mini,21618,,0,100,True,,60
Joel Fagliano,,Normal,2023-12-13,Wednesday,3,Mini,21621,,0,100,True,,37
Joel Fagliano,,Normal,2023-12-14,Thursday,4,Mini,21624,,0,0,False,,44
Joel Fagliano,,Normal,2023-12-15,Friday,5,Mini,21616,,0,100,True,,31
Joel Fagliano,,Normal,2023-12-16,Saturday,6,Mini,21617,,0,100,True,,139
